page_num,revision,table_sno,manufacturer_raw,manufacturer_clean,location_raw,location_clean,bis_registration_raw,bis_registration_clean,enlisted_capacity_raw,enlisted_capacity_clean,note,rev_rank,manufacturer_normalized
67,Revision-XLIII,5,"Emmvee Energy Sy. No. 66-70/3, Sompura",Emmvee Energy,"Sy. No. 66-70/3, Sompura","Sy. No. 66-70/3, Sompura",R-62004626,R-62004626,3276.0,3276.0,,43,EMMVEE ENERGY PRIVATE LIMITED
19,Revision-XLVII,6,"NITHIN SAI PLOT NO 75-A, 2ND PHASE,",NITHIN SAI,"PLOT NO 75-A, 2ND PHASE","PLOT NO 75-A, 2ND PHASE",R-62005509,R-62005509,691.0,691.0,,47,NITHIN SAI RENEWABLES PRIVATE LIMITED
33,Revision-XLVI,12,"Emmvee Energy Private Ground , 13/1 13/2 14 15/1 15/2","Emmvee Energy Private Ground , 13/1 13/2 14 15/1 15/2",,,R-62006050,R-62006050,4308.0,4308.0,,46,EMMVEE ENERGY PRIVATE LIMITED
135,Revision-XXXVIII,16,"Renewsys India Sy .No. 114/P, Srinagar",Renewsys India,"Sy .No. 114/P, Srinagar","Sy .No. 114/P, Srinagar",R-63000760,R-63000760,1773.0,1773.0,,38,RENEWSYS INDIA PRIVATE LIMITED
275,Revision - XXXVI,83,"Visaka Industries Survey No. 95&96, Adjacent to",Visaka Industries,"Survey No. 95&96, Adjacent to","Survey No. 95&96, Adjacent to",R-63000795,R-63000795,16.0,16.0,,36,VISAKA INDUSTRIES LIMITED
276,Revision - XXXVI,88,"Akshaya Solar Power Plot No G 1/A, TSIIC General Park,",Akshaya Solar Power,"Plot No G 1/A, TSIIC General Park","Plot No G 1/A, TSIIC General Park",R-63000825,R-63000825,33.0,33.0,,36,AKSHAYA SOLAR POWER
211,Revision - XXXVI,21,"Sri Savitr Solar Pvt. Plot No. 34/1, Sy No. 374, C.I.E. Phase",Sri Savitr Solar Pvt,"Plot No. 34/1, Sy No. 374, C.I.E. Phase","Plot No. 34/1, Sy No. 374, C.I.E. Phase",R-63000922,R-63000922,40.0,40.0,,36,SRI SAVITR SOLAR PRIVATE
50,Revision-XLIV,4,"Sirius Solar Energy PLOT NO: 30 & 46, ALEAP",Sirius Solar Energy,"PLOT NO: 30 & 46, ALEAP","PLOT NO: 30 & 46, ALEAP",R-63002038,R-63002038,67.0,67.0,,44,SIRIUS SOLAR ENERGY PRIVATE LIMITED
210,Revision - XXXVI,20,"Premier Energies Plot No-8/B/1 & 8/B/2, SY No. 62 P 63",Premier Energies,"Plot No-8/B/1 & 8/B/2, SY No. 62 P 63","Plot No-8/B/1 & 8/B/2, SY No. 62 P 63",R-63002356,R-63002356,1241.0,1241.0,,36,PREMIER ENERGIES LIMITED
251,Revision - XXXVI,56,"Premier Energies Plot No. S-95, S-96, S-100, S-101, S-",Premier Energies,"Plot No. S-95, S-96, S-100, S-101, S","Plot No. S-95, S-96, S-100, S-101, S",R-63003719,R-63003719,1320.0,1320.0,,36,PREMIER ENERGIES LIMITED
271,Revision - XXXVI,78,"Junna Solar Systems Unit – II Plot Number 21,",Junna Solar Systems,Unit – II Plot Number 21,Unit – II Plot Number 21,R-63004146,R-63004146,94.0,94.0,,36,JUNNA SOLAR SYSTEMS
135,Revision-XXXVIII,17,"Premier Plot No S-95,S-96,S-100,S-",Premier,"Plot No S-95,S-96,S-100,S","Plot No S-95,S-96,S-100,S",R-63004740,R-63004740,1085.0,1085.0,,38,PREMIER ENERGIES GLOBAL ENVIRONMENT LIMITED
64,Revision-XLIII,1,"Surana Solar Limited Sy No. 49, 51, 52 to 55,",Surana Solar Limited,"Sy No. 49, 51, 52 to 55","Sy No. 49, 51, 52 to 55",R-63004979,R-63004979,174.0,174.0,,43,SURANA SOLAR LIMITED
43,Revision- XLV,7,"Frontier Energy B2 Kothur Logistic Park,",Frontier Energy B2 Kothur Logistic Park,,,R-63005045,R-63005045,548.0,548.0,,45,FRONTIER ENERGY PRIVATE LIMITED
33,Revision-XLVI,11,"Premier Energies 303, 304, 305 AND 306/2, IALA-","Premier Energies 303, 304, 305 AND 306/2, IALA",,,R-63005460,R-63005460,1507.0,1507.0,,46,PREMIER ENERGIES LIMITED
